work_year,job_title,job_category,salary_currency,salary,salary_in_usd,employee_residence,experience_level,employment_type,work_setting,company_location,company_size
2025,Data Scientist,Data Science,USD,152000,152000,United States,Entry,Full-time,Remote,"San Francisco, CA",Large
2025,Machine Learning Engineer,Machine Learning,USD,175000,175000,United States,Mid,Full-time,Hybrid,"New York, NY",Large
2025,Senior Data Scientist,Data Science,USD,195000,195000,United States,Senior,Full-time,In-person,"Seattle, WA",Large
2025,Data Analyst,Data Analysis,USD,86500,86500,United States,Entry,Full-time,Remote,"Austin, TX",Medium
2025,Principal Data Scientist,Data Science,USD,243000,243000,United States,Senior,Full-time,Hybrid,"San Francisco, CA",Large
2025,AI Engineer,Artificial Intelligence,USD,190000,190000,United States,Mid,Full-time,Remote,"Boston, MA",Large
2025,Data Engineer,Data Engineering,USD,125000,125000,United States,Mid,Full-time,In-person,"Chicago, IL",Medium
2025,Business Intelligence Analyst,Business Intelligence,USD,78000,78000,United States,Entry,Full-time,Hybrid,"Denver, CO",Medium
2025,Quantitative Analyst,Quantitative Analysis,USD,165000,165000,United States,Mid,Full-time,In-person,"New York, NY",Large
2025,Data Architect,Data Architecture,USD,190000,190000,United States,Senior,Full-time,Hybrid,"San Francisco, CA",Large
2025,Machine Learning Engineer,Machine Learning,EUR,75000,79500,Germany,Mid,Full-time,Remote,Munich,Medium
2025,Data Scientist,Data Science,GBP,67000,84000,United Kingdom,Mid,Full-time,Hybrid,London,Large
2025,Senior Data Analyst,Data Analysis,CAD,95000,70000,Canada,Senior,Full-time,Remote,Toronto,Medium
2025,AI Specialist,Artificial Intelligence,USD,205000,205000,United States,Senior,Full-time,In-person,"San Francisco, CA",Large
2025,Junior Data Scientist,Data Science,USD,117000,117000,United States,Entry,Full-time,Remote,"Portland, OR",Small
2025,Big Data Engineer,Data Engineering,USD,145000,145000,United States,Mid,Full-time,Hybrid,"Seattle, WA",Large
2025,NLP Specialist,Natural Language Processing,USD,170000,170000,United States,Mid,Full-time,Remote,"New York, NY",Large
2025,Data Scientist,Data Science,CHF,120000,143000,Switzerland,Mid,Full-time,In-person,Zurich,Large
2025,Machine Learning Engineer,Machine Learning,USD,158000,158000,United States,Mid,Contract,Remote,"Los Angeles, CA",Medium
2025,Senior Data Engineer,Data Engineering,USD,165000,165000,United States,Senior,Full-time,Hybrid,"Austin, TX",Large
2025,Data Analyst,Data Analysis,EUR,55000,58300,Germany,Entry,Full-time,Remote,Berlin,Medium
2025,Chief Data Officer,Data Leadership,USD,285000,285000,United States,Senior,Full-time,In-person,"San Francisco, CA",Large
2025,Research Scientist,Research,USD,180000,180000,United States,Senior,Full-time,Hybrid,"Boston, MA",Large
2025,Data Scientist,Data Science,GBP,52000,65200,United Kingdom,Entry,Full-time,Remote,Manchester,Small
2025,Machine Learning Engineer,Machine Learning,CAD,130000,95800,Canada,Mid,Full-time,Hybrid,Vancouver,Medium
2025,Senior Business Intelligence Analyst,Business Intelligence,USD,105000,105000,United States,Senior,Full-time,In-person,"Chicago, IL",Medium
2025,Data Scientist,Data Science,USD,142000,142000,United States,Mid,Full-time,Remote,"Miami, FL",Medium
2025,AI Research Engineer,Artificial Intelligence,USD,195000,195000,United States,Senior,Full-time,Hybrid,"Seattle, WA",Large
2025,Junior Data Analyst,Data Analysis,USD,68000,68000,United States,Entry,Full-time,Remote,"Phoenix, AZ",Small
2025,Data Engineering Manager,Data Engineering,USD,220000,220000,United States,Senior,Full-time,In-person,"San Francisco, CA",Large
2025,Machine Learning Engineer,Machine Learning,EUR,85000,90100,Netherlands,Mid,Full-time,Hybrid,Amsterdam,Large
2025,Data Scientist,Data Science,AUD,110000,72600,Australia,Mid,Full-time,Remote,Sydney,Medium
2025,Senior AI Engineer,Artificial Intelligence,USD,225000,225000,United States,Senior,Full-time,Hybrid,"New York, NY",Large
2025,Data Analyst,Data Analysis,CAD,75000,55300,Canada,Entry,Part-time,Remote,Montreal,Small
2025,Computer Vision Engineer,Computer Vision,USD,185000,185000,United States,Mid,Full-time,In-person,"San Francisco, CA",Large
2025,Data Scientist,Data Science,USD,128000,128000,United States,Entry,Full-time,Hybrid,"Atlanta, GA",Medium
2025,Machine Learning Engineer,Machine Learning,USD,212000,212000,United States,Senior,Full-time,Remote,"Austin, TX",Large
2025,Business Data Analyst,Business Intelligence,GBP,45000,56500,United Kingdom,Entry,Full-time,In-person,Birmingham,Small
2025,Data Science Manager,Data Science,USD,240000,240000,United States,Senior,Full-time,Hybrid,"Seattle, WA",Large
2025,Junior Machine Learning Engineer,Machine Learning,USD,105000,105000,United States,Entry,Full-time,Remote,"Denver, CO",Medium
2025,Senior Data Architect,Data Architecture,USD,210000,210000,United States,Senior,Full-time,In-person,"New York, NY",Large
2025,Data Scientist,Data Science,EUR,68000,72100,France,Mid,Full-time,Hybrid,Paris,Medium
2025,AI Product Manager,Product Management,USD,175000,175000,United States,Mid,Full-time,Remote,"San Francisco, CA",Large
2025,Data Engineer,Data Engineering,USD,98000,98000,United States,Entry,Contract,Remote,"Nashville, TN",Small
2025,Senior Quantitative Analyst,Quantitative Analysis,USD,195000,195000,United States,Senior,Full-time,In-person,"New York, NY",Large
2025,Data Scientist,Data Science,SGD,95000,70400,Singapore,Mid,Full-time,Hybrid,Singapore,Large
2025,Machine Learning Engineer,Machine Learning,USD,167000,167000,United States,Mid,Full-time,Remote,"Portland, OR",Medium
2025,Data Analytics Consultant,Data Analysis,USD,125000,125000,United States,Mid,Contract,Remote,"Dallas, TX",Medium
2025,Deep Learning Engineer,Deep Learning,USD,200000,200000,United States,Senior,Full-time,Hybrid,"San Francisco, CA",Large
2025,Data Scientist,Data Science,INR,1800000,21500,India,Mid,Full-time,Remote,Bangalore,Large
2025,Senior Data Scientist,Data Science,USD,215000,215000,United States,Senior,Full-time,In-person,"Boston, MA",Large
2025,Data Science Intern,Data Science,USD,75000,75000,United States,Entry,Full-time,Remote,"San Jose, CA",Large
2025,MLOps Engineer,Machine Learning Operations,USD,155000,155000,United States,Mid,Full-time,Hybrid,"Seattle, WA",Large
2025,Senior Data Analyst,Data Analysis,USD,99000,99000,United States,Senior,Full-time,In-person,"New York, NY",Medium
2025,Data Scientist,Data Science,EUR,62000,65700,Spain,Mid,Full-time,Remote,Madrid,Medium
2025,AI Research Scientist,Artificial Intelligence,USD,230000,230000,United States,Senior,Full-time,Hybrid,"Palo Alto, CA",Large
2025,Junior Data Engineer,Data Engineering,USD,95000,95000,United States,Entry,Full-time,Remote,"Charlotte, NC",Medium
2025,Statistical Analyst,Statistics,CAD,85000,62600,Canada,Mid,Full-time,In-person,Calgary,Small
2025,Data Visualization Specialist,Data Visualization,USD,110000,110000,United States,Mid,Full-time,Hybrid,"Minneapolis, MN",Medium
2025,Machine Learning Engineer,Machine Learning,GBP,75000,94000,United Kingdom,Senior,Full-time,Remote,Edinburgh,Large
2025,Data Science Consultant,Data Science,USD,145000,145000,United States,Mid,Contract,Remote,"Houston, TX",Medium
2025,Senior AI Engineer,Artificial Intelligence,EUR,95000,100700,Germany,Senior,Full-time,Hybrid,Frankfurt,Large
2025,Business Data Scientist,Data Science,USD,135000,135000,United States,Mid,Full-time,In-person,"Philadelphia, PA",Large
2025,Data Mining Specialist,Data Mining,AUD,95000,62700,Australia,Mid,Full-time,Remote,Melbourne,Medium
